country,source_group,source_type,plant_type,commission_year,lifetime_years,load_factor,net_efficiency,construction_cost_usd_per_kw,contingency_usd_per_kw,om_variable_usd_per_mwh,om_fixed_usd_per_kw_year,fuel,fuel_cost_usd_per_mwh,fuel_cost_unit,emission_factor_tco2_per_mwh_fuel,ccs_efficiency
Japan,Low carbon,Wind,Wind offshore (100 MW),2025,25.0,0.3,1.0,4039.01,192.33,0.0,176.593,naturEnergy,0.0,MWh,0.0,0.0
Japan,Low carbon,Solar,Solar PV (residential) (0.004 MW),2025,25.0,0.12,1.0,2332.74,111.08,0.0,23.071,naturEnergy,0.0,MWh,0.0,0.0
Japan,Low carbon,Solar,Solar PV (utility scale) (2.0 MW),2025,25.0,0.14,1.0,2006.12,95.53,0.0,28.596,naturEnergy,0.0,MWh,0.0,0.0
Japan,Low carbon,Hydro,Hydro reservoir (>= 5 MW) (12.0 MW),2025,80.0,0.45,0.9,5819.16,277.1,0.0,90.658,naturEnergy,0.0,MWh,0.0,0.0
Slovakia,Low carbon,Nuclear,Nuclear (1004 MW),2025,60.0,0.85,0.324,6920.03,902.61,0.92,65.485,Uranium,0.0,MWh,0.0,0.0
Slovakia,,CHP,"Gas (OCGT/int. comb., CHP) (35.9 MW)",2025,30.0,0.98,0.81,1107.41,52.73,3.5,22.358,Gas,27.297,MWh,0.20196,0.0
Slovakia,,CHP,"Gas (CCGT, CHP) (5.8 MW)",2025,30.0,0.7,0.923,1160.31,55.25,3.5,26.0,Gas,27.297,MWh,0.20196,0.0
Australia,Fossil fuel,Coal,Supercritical pulverised (722 MW),2025,40.0,0.85,0.4011,2433.48,115.88,3.146,41.29,Bituminous,11.895,MWh,0.34056,0.0
Australia,,Coal,Supercritical pulverised (CCUS) (633 MW),2025,40.0,0.85,0.3005,4489.65,213.79,10.169,68.253,Bituminous,11.895,MWh,0.34056,0.9
Australia,Fossil fuel,Lignite,Supercritical pulverised (709 MW),2025,40.0,0.85,0.3175,3755.94,178.85,3.938,54.535,Lignite,1.63,MWh,0.3636,0.0
Australia,,Lignite,Supercritical pulverised (CCUS) (570 MW),2025,40.0,0.85,0.2065,6891.0,328.14,12.141,99.883,Lignite,1.63,MWh,0.3636,0.9
Australia,Fossil fuel,Gas,Gas (CCGT) (506 MW),2025,30.0,0.85,0.4752,954.86,45.47,5.507,8.047,Gas,26.629,MWh,0.20196,0.0
Australia,,Gas,"Gas (CCGT, CCUS) (437 MW)",2025,30.0,0.85,0.4099,2826.48,134.59,10.879,14.812,Gas,26.629,MWh,0.20196,0.9
Australia,Fossil fuel,Gas,Gas (OCGT/int. comb.) (537 MW),2025,30.0,0.3,0.3064,667.96,31.81,7.868,3.208,Gas,26.629,MWh,0.20196,0.0
Australia,Low carbon,Wind,Wind onshore (>= 1 MW) (100 MW),2025,25.0,0.42,1.0,1432.37,68.20805,1.995,26.912,naturEnergy,0.0,MWh,0.0,0.0
Australia,Low carbon,Wind,Wind offshore (100 MW),2025,25.0,0.51,1.0,3474.45,165.45,0.0,80.737,naturEnergy,0.0,MWh,0.0,0.0
Australia,Low carbon,Solar,Solar PV (utility scale) (100 MW),2025,25.0,0.28,1.0,882.02,42.00073,0.0,10.789,naturEnergy,0.0,MWh,0.0,0.0
Australia,Low carbon,Solar,Solar thermal (CSP) (150 MW),2025,25.0,0.47,1.0,5238.3,249.44,4.035,63.508,naturEnergy,0.0,MWh,0.0,0.0
Canada,Fossil fuel,Gas,Gas (CCGT) (471 MW),2025,30.0,0.85,0.569,1058.07,81.88,2.084,36.272,Gas,10.919,MWh,0.20196,0.0
Canada,Fossil fuel,Gas,Gas (OCGT/int. comb.) (243 MW),2025,30.0,0.3,0.4,517.84,35.24,3.55,39.359,Gas,10.919,MWh,0.20196,0.0
Canada,Fossil fuel,Gas,Gas (OCGT/int. comb.) (100 MW),2025,30.0,0.3,0.413,1140.65,77.67,0.772,20.837,Gas,10.919,MWh,0.20196,0.0
Canada,Low carbon,Wind,Wind onshore (>= 1 MW) (200 MW),2025,25.0,0.4,1.0,1361.37,38.22,0.0,46.305,naturEnergy,0.0,MWh,0.0,0.0
Canada,Low carbon,Solar,Solar PV (utility scale) (20.0 MW),2025,25.0,0.25,1.0,1354.42,50.16,0.0,13.892,naturEnergy,0.0,MWh,0.0,0.0
Canada,Low carbon,Solar,Solar PV (utility scale) (20.0 MW),2025,25.0,0.19,1.0,1264.13,50.03,0.0,30.87,naturEnergy,0.0,MWh,0.0,0.0
France,Low carbon,Nuclear,Gen III projects (1650 MW),2025,60.0,0.85,0.33,4013.29,523.47,13.031,9.132,Uranium,0.0,MWh,0.0,0.0
France,Low carbon,Wind,Wind onshore (>= 1 MW) (50.0 MW),2025,25.0,0.38,1.0,1475.47,70.26,0.0,59.019,naturEnergy,0.0,MWh,0.0,0.0
France,Low carbon,Wind,Wind offshore (500 MW),2025,25.0,0.45,1.0,3068.98,146.14,0.0,88.528,naturEnergy,0.0,MWh,0.0,0.0
France,Low carbon,Solar,Solar PV (utility scale) (25.0 MW),2025,25.0,0.24,1.0,708.23,0.0,0.0,7.082,naturEnergy,0.0,MWh,0.0,0.0
France,Low carbon,Solar,Solar PV (commercial) (0.50 MW),2025,25.0,0.1764,1.0,849.87,0.0,0.0,36.0,naturEnergy,0.0,MWh,0.0,0.0
