___February_2026_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
 180   2  179.00  -87.00        0.2403
   1   3 -179.00  -85.00        0.2403
   2   3 -177.00  -85.00        0.2403
   3   3 -175.00  -85.00        0.2403
   4   3 -173.00  -85.00        0.2403
   5   3 -171.00  -85.00        0.2403
   6   3 -169.00  -85.00        0.2403
   7   3 -167.00  -85.00        0.2403
   8   3 -165.00  -85.00        0.2403
   9   3 -163.00  -85.00        0.2403
  10   3 -161.00  -85.00        0.2403
  11   3 -159.00  -85.00        0.2403
  12   3 -157.00  -85.00        0.2403
  13   3 -155.00  -85.00        0.2403
  14   3 -153.00  -85.00        0.2403
  15   3 -151.00  -85.00        0.2403
  16   3 -149.00  -85.00        0.2403
  17   3 -147.00  -85.00        0.2403
  18   3 -145.00  -85.00        0.2403
  19   3 -143.00  -85.00        0.2403
  20   3 -141.00  -85.00        0.2403
  21   3 -139.00  -85.00        0.2403
  22   3 -137.00  -85.00        0.2403
  23   3 -135.00  -85.00        0.2403
  24   3 -133.00  -85.00        0.2403
  25   3 -131.00  -85.00        0.2403
  26   3 -129.00  -85.00        0.2403
  27   3 -127.00  -85.00        0.2403
  28   3 -125.00  -85.00        0.2403
  29   3 -123.00  -85.00        0.2403
  30   3 -121.00  -85.00        0.2403
  31   3 -119.00  -85.00        0.2403
  32   3 -117.00  -85.00        0.2403
  33   3 -115.00  -85.00        0.2403
  34   3 -113.00  -85.00        0.2403
  35   3 -111.00  -85.00        0.2403
  36   3 -109.00  -85.00        0.2403
  37   3 -107.00  -85.00        0.2403
  38   3 -105.00  -85.00        0.2403
  39   3 -103.00  -85.00        0.2403
  40   3 -101.00  -85.00        0.2403
  41   3  -99.00  -85.00        0.2403
  42   3  -97.00  -85.00        0.2403
  43   3  -95.00  -85.00        0.2403
  44   3  -93.00  -85.00        0.2403
  45   3  -91.00  -85.00        0.2403
  46   3  -89.00  -85.00        0.2403
  47   3  -87.00  -85.00        0.2403
  48   3  -85.00  -85.00        0.2403
  49   3  -83.00  -85.00        0.2403
  50   3  -81.00  -85.00        0.2403
  51   3  -79.00  -85.00        0.2403
  52   3  -77.00  -85.00        0.2403
  53   3  -75.00  -85.00        0.2403
  54   3  -73.00  -85.00        0.2403
  55   3  -71.00  -85.00        0.2403
  56   3  -69.00  -85.00        0.2403
  57   3  -67.00  -85.00        0.2403
  58   3  -65.00  -85.00        0.2403
  59   3  -63.00  -85.00        0.2403
  60   3  -61.00  -85.00        0.2403
  61   3  -59.00  -85.00        0.2403
  62   3  -57.00  -85.00        0.2403
  63   3  -55.00  -85.00        0.2403
  64   3  -53.00  -85.00        0.2403
  65   3  -51.00  -85.00        0.2403
  66   3  -49.00  -85.00        0.2403
  67   3  -47.00  -85.00        0.2403
  68   3  -45.00  -85.00        0.2403
  69   3  -43.00  -85.00        0.2403
  70   3  -41.00  -85.00        0.2403
  71   3  -39.00  -85.00        0.2403
  72   3  -37.00  -85.00        0.2403
  73   3  -35.00  -85.00        0.2403
  74   3  -33.00  -85.00        0.2403
  75   3  -31.00  -85.00        0.2403
  76   3  -29.00  -85.00        0.2403
  77   3  -27.00  -85.00        0.2403
  78   3  -25.00  -85.00        0.2403
  79   3  -23.00  -85.00        0.2403
  80   3  -21.00  -85.00        0.2403
  81   3  -19.00  -85.00        0.2403
  82   3  -17.00  -85.00        0.2403
  83   3  -15.00  -85.00        0.2403
  84   3  -13.00  -85.00        0.2403
  85   3  -11.00  -85.00        0.2403
  86   3   -9.00  -85.00        0.2403
  87   3   -7.00  -85.00        0.2403
  88   3   -5.00  -85.00        0.2403
  89   3   -3.00  -85.00        0.2403
  90   3   -1.00  -85.00        0.2403
  91   3    1.00  -85.00        0.2403
  92   3    3.00  -85.00        0.2403
  93   3    5.00  -85.00        0.2403
  94   3    7.00  -85.00        0.2403
  95   3    9.00  -85.00        0.2403
  96   3   11.00  -85.00        0.2403
  97   3   13.00  -85.00        0.2403
  98   3   15.00  -85.00        0.2403
  99   3   17.00  -85.00        0.2403
 100   3   19.00  -85.00        0.2403
 101   3   21.00  -85.00        0.2403
 102   3   23.00  -85.00        0.2403
 103   3   25.00  -85.00        0.2403
 104   3   27.00  -85.00        0.2403
 105   3   29.00  -85.00        0.2403
 106   3   31.00  -85.00        0.2403
 107   3   33.00  -85.00        0.2403
 108   3   35.00  -85.00        0.2403
 109   3   37.00  -85.00        0.2403
 110   3   39.00  -85.00        0.2403
 111   3   41.00  -85.00        0.2403
 112   3   43.00  -85.00        0.2403
 113   3   45.00  -85.00        0.2403
 114   3   47.00  -85.00        0.2403
 115   3   49.00  -85.00        0.2403
 116   3   51.00  -85.00        0.2403
 117   3   53.00  -85.00        0.2403
 118   3   55.00  -85.00        0.2403
 119   3   57.00  -85.00        0.2403
 120   3   59.00  -85.00        0.2403
 121   3   61.00  -85.00        0.2403
 122   3   63.00  -85.00        0.2403
 123   3   65.00  -85.00        0.2403
 124   3   67.00  -85.00        0.2403
 125   3   69.00  -85.00        0.2403
 126   3   71.00  -85.00        0.2403
 127   3   73.00  -85.00        0.2403
 128   3   75.00  -85.00        0.2403
 129   3   77.00  -85.00        0.2403
 130   3   79.00  -85.00        0.2403
 131   3   81.00  -85.00        0.2403
 132   3   83.00  -85.00        0.2403
 133   3   85.00  -85.00        0.2403
 134   3   87.00  -85.00        0.2403
 135   3   89.00  -85.00        0.2403
 136   3   91.00  -85.00        0.2403
 137   3   93.00  -85.00        0.2403
 138   3   95.00  -85.00        0.2403
 139   3   97.00  -85.00        0.2403
 140   3   99.00  -85.00        0.2403
 141   3  101.00  -85.00        0.2403
 142   3  103.00  -85.00        0.2403
 143   3  105.00  -85.00        0.2403
 144   3  107.00  -85.00        0.2403
 145   3  109.00  -85.00        0.2403
 146   3  111.00  -85.00        0.2403
 147   3  113.00  -85.00        0.2403
 148   3  115.00  -85.00        0.2403
 149   3  117.00  -85.00        0.2403
 150   3  119.00  -85.00        0.2403
 151   3  121.00  -85.00        0.2403
 152   3  123.00  -85.00        0.2403
 153   3  125.00  -85.00        0.2403
 154   3  127.00  -85.00        0.2403
 155   3  129.00  -85.00        0.2403
 156   3  131.00  -85.00        0.2403
 157   3  133.00  -85.00        0.2403
 158   3  135.00  -85.00        0.2403
 159   3  137.00  -85.00        0.2403
 160   3  139.00  -85.00        0.2403
 161   3  141.00  -85.00        0.2403
 162   3  143.00  -85.00        0.2403
 163   3  145.00  -85.00        0.2403
 164   3  147.00  -85.00        0.2403
 165   3  149.00  -85.00        0.2403
 166   3  151.00  -85.00        0.2403
 167   3  153.00  -85.00        0.2403
 168   3  155.00  -85.00        0.2403
 169   3  157.00  -85.00        0.2403
 170   3  159.00  -85.00        0.2403
 171   3  161.00  -85.00        0.2403
 172   3  163.00  -85.00        0.2403
 173   3  165.00  -85.00        0.2403
 174   3  167.00  -85.00        0.2403
 175   3  169.00  -85.00        0.2403
 176   3  171.00  -85.00        0.2403
 177   3  173.00  -85.00        0.2403
 178   3  175.00  -85.00        0.2403
 179   3  177.00  -85.00        0.2403
 180   3  179.00  -85.00        0.2403
   1   4 -179.00  -83.00        0.2403
   2   4 -177.00  -83.00        0.2403
   3   4 -175.00  -83.00        0.2403
   4   4 -173.00  -83.00        0.2403
   5   4 -171.00  -83.00        0.2403
   6   4 -169.00  -83.00        0.2403
   7   4 -167.00  -83.00        0.2403
   8   4 -165.00  -83.00        0.2403
   9   4 -163.00  -83.00        0.2403
  10   4 -161.00  -83.00        0.2403
  11   4 -159.00  -83.00        0.2403
  12   4 -157.00  -83.00        0.2403
  13   4 -155.00  -83.00        0.2403
  14   4 -153.00  -83.00        0.2403
  15   4 -151.00  -83.00        0.2403
  16   4 -149.00  -83.00        0.2403
  17   4 -147.00  -83.00        0.2403
  18   4 -145.00  -83.00        0.2403
  19   4 -143.00  -83.00        0.2403
  20   4 -141.00  -83.00        0.2403
  21   4 -139.00  -83.00        0.2403
  22   4 -137.00  -83.00        0.2403
  23   4 -135.00  -83.00        0.2403
  24   4 -133.00  -83.00        0.2403
  25   4 -131.00  -83.00        0.2403
  26   4 -129.00  -83.00        0.2403
  27   4 -127.00  -83.00        0.2403
  28   4 -125.00  -83.00        0.2403
  29   4 -123.00  -83.00        0.2403
  30   4 -121.00  -83.00        0.2403
  31   4 -119.00  -83.00        0.2403
  32   4 -117.00  -83.00        0.2403
  33   4 -115.00  -83.00        0.2403
  34   4 -113.00  -83.00        0.2403
  35   4 -111.00  -83.00        0.2403
  36   4 -109.00  -83.00        0.2403
  37   4 -107.00  -83.00        0.2403
  38   4 -105.00  -83.00        0.2403
  39   4 -103.00  -83.00        0.2403
  40   4 -101.00  -83.00        0.2403
  41   4  -99.00  -83.00        0.2403
  42   4  -97.00  -83.00        0.2403
  43   4  -95.00  -83.00        0.2403
  44   4  -93.00  -83.00        0.2403
  45   4  -91.00  -83.00        0.2403
  46   4  -89.00  -83.00        0.2403
  47   4  -87.00  -83.00        0.2403
  48   4  -85.00  -83.00        0.2403
  49   4  -83.00  -83.00        0.2403
  50   4  -81.00  -83.00        0.2403
  51   4  -79.00  -83.00        0.2403
  52   4  -77.00  -83.00        0.2403
  53   4  -75.00  -83.00        0.2403
  54   4  -73.00  -83.00        0.2403
  55   4  -71.00  -83.00        0.2403
  56   4  -69.00  -83.00        0.2403
  57   4  -67.00  -83.00        0.2403
  58   4  -65.00  -83.00        0.2403
  59   4  -63.00  -83.00        0.2403
  60   4  -61.00  -83.00        0.2403
  61   4  -59.00  -83.00        0.2403
  62   4  -57.00  -83.00        0.2403
  63   4  -55.00  -83.00        0.2403
  64   4  -53.00  -83.00        0.2403
  65   4  -51.00  -83.00        0.2403
  66   4  -49.00  -83.00        0.2403
  67   4  -47.00  -83.00        0.2403
  68   4  -45.00  -83.00        0.2403
  69   4  -43.00  -83.00        0.2403
  70   4  -41.00  -83.00        0.2403
  71   4  -39.00  -83.00        0.2403
  72   4  -37.00  -83.00        0.2403
  73   4  -35.00  -83.00        0.2403
  74   4  -33.00  -83.00        0.2403
  75   4  -31.00  -83.00        0.2403
  76   4  -29.00  -83.00        0.2403
  77   4  -27.00  -83.00        0.2403
  78   4  -25.00  -83.00        0.2403
  79   4  -23.00  -83.00        0.2403
  80   4  -21.00  -83.00        0.2403
  81   4  -19.00  -83.00        0.2403
  82   4  -17.00  -83.00        0.2403
  83   4  -15.00  -83.00        0.2403
  84   4  -13.00  -83.00        0.2403
  85   4  -11.00  -83.00        0.2403
  86   4   -9.00  -83.00        0.2403
  87   4   -7.00  -83.00        0.2403
  88   4   -5.00  -83.00        0.2403
  89   4   -3.00  -83.00        0.2403
  90   4   -1.00  -83.00        0.2403
  91   4    1.00  -83.00        0.2403
  92   4    3.00  -83.00        0.2403
