iso3,sea_level_exposure_pop_below_5m_pct,flood_deaths_latest,drought_deaths_latest,wildfire_deaths_latest,heat_deaths_latest,cereal_yield_anomaly_pct_latest,water_stress_pct_latest,freshwater_resources_per_capita_m3_latest,pm25_ug_m3_latest,air_pollution_death_rate_per_100k_latest,nd_gain_readiness_latest,coal_share_latest_pct
FSM,23.2202307154668,0.0,0.0,,,16.059415990272193,,,12.1144203347628,254.0,0.36705610381182,
GAB,9.52729723911365,0.0,,,,0.22770410467440957,0.502166065,67468.9714725556,29.9548734558765,78.3,0.28890535339169,0.0
GBR,2.74511866286225,0.0,0.0,,573.0,0.8158742735837582,14.35464621,2144.84350038459,9.91288560282114,13.4,0.681322595405575,0.11271262
GEO,3.85225301774937,0.0,0.0,,,26.83136391244018,4.212964169,15657.904022678,17.0438421058507,92.8,0.570356721775658,0.0
GHA,2.1287841350265,8.0,0.0,4.0,,64.64757540578373,6.314734089,914.050531368042,54.2427873097724,193.6,0.347538790781071,0.0
GIB,56.4066671990183,,,,,,,,,,,0.0
GIN,2.34686602584341,5.0,12.0,0.0,,2.8189510321651583,1.369230769,16079.5302102,43.7674450148382,238.0,0.307854967286734,0.0
GLP,,0.0,,,,,,,,,,13.414634
GMB,4.3101211111681,8.0,0.0,0.0,,-14.762928740232914,2.209656372,1137.88512670351,58.3640402179659,220.5,0.328896645456793,0.0
GNB,4.53961279050343,2.0,0.0,3.0,,16.66795724141492,1.495726496,7599.04043116955,50.2127655060307,228.8,0.276644070680983,0.0
GNQ,5.66273195374869,0.0,,,,,0.183503244,14416.052829289,35.3790521811967,165.7,0.257091995011705,0.0
GRC,5.10819938614292,0.0,0.0,1.0,5980.0,1.2827005458143996,20.32571313,5557.21526793155,14.4089280374361,23.0,0.534466292258504,4.710332
GRD,5.85477777203569,0.0,0.0,,,-0.26909769894008956,7.05,1710.67374885599,24.6572416056476,47.4,0.52537747817592,0.0
GRL,59.8627167311208,,,,,,,,6.55624754182179,,,0.0
GTM,0.206295001583779,18.0,0.0,0.0,0.0,-13.306873774579792,5.742097081,6118.37475123792,21.6357355920496,91.0,0.318057253324156,17.607725
GUF,,0.0,,,,,,,,,,
GUM,2.38697297670755,,,,,,,,9.57510553293178,,,0.0
GUY,78.4831581251732,0.0,0.0,,,30.53175433240007,3.298401827,293316.878378165,25.460668047299,95.7,0.336676386342293,0.0
HKG,7.28685820893967,0.0,0.0,0.0,10.0,2.2255437125842397,,,,,,35.25505
HND,1.82227588839704,16.0,0.0,0.0,,14.283984256736307,4.621268764,8664.09680852365,20.3136833896573,112.5,0.260003178694527,0.0
HPC,1.43598787110087,,,,,25.285140450171202,,4534.08486684176,36.1629038373708,181.850593685821,,
HRV,4.31367326892496,0.0,0.0,0.0,1255.0,6.9387784625177265,1.509559804,9777.88129133392,16.1208592960264,31.3,0.492805744919071,5.0240884
HTI,4.07394014873398,1.0,0.0,,,8.682533675629776,13.38379177,1130.68893353962,21.3502554448061,206.4,0.216355809547699,0.0
HUN,0.0,0.0,0.0,,1443.0,24.700689424077098,8.108497409,624.669835963783,14.1364995764273,42.3,0.493617982156558,3.409933
IBD,4.45164266227425,,,,,23.100792384677575,,5432.86509285941,32.9561415779856,98.6437247532736,,
IBT,3.93734763314939,,,,,21.232732178211464,,4970.32700897872,34.5339708138123,118.559996377422,,
IDA,2.43632330581739,,,,,15.886322779498933,,3747.71616929302,38.842742871395,173.787016322291,,
IDB,1.8942105503023,,,,,18.186840744871215,,2842.33256566835,44.3434332455677,175.202347314304,,
IDN,8.81766119912081,62.0,0.0,0.0,,23.240084319492222,29.69654528,7239.88154109194,17.8814994983985,96.1,0.398129271148448,61.481937
IDX,2.73338177979175,,,,,15.140348516850771,,4234.59208682769,35.8720333804359,173.02026742926,,
IMN,5.99191284735536,,,,,,,,,,,
IND,1.88001213009684,368.0,0.0,17.0,733.0,33.251514806336296,66.49209283,1014.43556399726,48.3948115195574,139.3,0.393714361052674,74.76604
IRL,2.79860140235064,0.0,,,37.0,-9.075035443249098,8.051010587,9399.87369639099,8.17058601306707,12.8,0.600515099919212,0.51629555
IRN,0.928610379790746,44.0,0.0,0.0,158.0,10.108270403057059,81.28908129,1435.365342256,32.2873733599003,58.1,0.367496068744824,0.18444124
IRQ,4.59009995154453,0.0,0.0,,,53.72226649331042,59.58384831,798.71930804768,38.1750699787954,89.7,0.301188223733444,0.0
ISL,11.3135349757772,0.0,,,0.0,-24.597091987762276,0.394075282,445022.683067934,5.10554827500189,8.2,0.693499466343527,0.0
ISR,1.70248770424203,7.0,0.0,0.0,0.0,-23.701590036251392,131.998964714,80.0307318010116,18.5982756348314,15.1,0.523852831272241,17.645477
ITA,3.81654106895182,0.0,0.0,0.0,19038.0,-3.6097293322181776,29.76738039,3092.50397878173,14.6586386239905,15.0,0.537360811721265,1.4117024
JAM,9.15485047135585,1.0,0.0,,,-5.68737232977993,12.38281888,3812.06448140707,17.413637041591,35.9,0.40680274948609,0.0
JOR,0.053651096121461,34.0,0.0,,0.0,38.53088306815812,105.2021265,60.5884919355562,28.7737639174179,38.7,0.412804512698868,0.0
JPN,12.4425842555292,5.0,0.0,1.0,123.0,2.2993645910630085,36.64367816,3436.56373867893,12.835201662985,11.8,0.685058120065923,32.18548
KAZ,0.0,2.0,0.0,14.0,0.0,-10.662538806336453,34.62690707,3211.94189514754,20.0278724259165,83.4,0.507322908255109,54.029194
KEN,0.409713227470306,536.0,0.0,,,10.748426206574955,33.23990107,381.549511643352,24.3917906517518,131.9,0.305556854143797,0.0
KGZ,0.0,6.0,0.0,,0.0,1.102021426287758,50.03895598,7014.83250707505,24.3817252281764,124.9,0.393693458702386,14.1096735
KHM,2.00470704447948,15.0,0.0,,0.0,32.84413361862052,1.036544851,7010.92518401063,24.1436022803452,163.3,0.291590099202459,56.10687
KIR,33.5281166700452,0.0,0.0,,,,,,11.2568272545112,246.6,0.447493771254115,0.0
KNA,7.44796014369895,0.0,,,,,50.83333333,513.819606499818,8.5943079884613,,0.55322089212856,0.0
KOR,2.13367182802107,31.0,0.0,31.0,22.0,3.1624615394212157,85.22183304,1255.01791869493,25.9439899531653,18.9,0.726999823197072,30.506252
KWT,4.75710089918604,1.0,,,,47.934580331272265,3850.5,0.0,53.7151434413218,45.2,0.469669725071288,0.0
LAC,1.95722630149527,,,,,24.088670468438337,,19778.2520255799,15.4844658279965,42.4612853399571,,
LAO,0.0,13.0,0.0,,0.0,13.448489770859565,4.791395046,25188.4936738384,22.3176670505669,195.3,0.335772527506012,23.28872
LBN,2.95352811814315,0.0,,0.0,0.0,-13.20612332902113,58.79299156,835.583460948398,19.2310172881236,58.6,0.288313858597877,0.0
LBR,11.7318691364715,2.0,0.0,,0.0,-8.48692670381483,0.264311594,37221.1161347211,42.3616590279287,152.7,0.2804635319622,0.0
LBY,6.83376098719048,5.0,,,,3.5200518062815185,817.1428571,96.9018405120293,32.9707065002742,53.9,0.301999169949368,0.0
LCA,3.17776267992752,0.0,0.0,,,,14.3,1678.03066321365,23.7585855502375,27.7,0.450559293633692,0.0
LCN,2.20803135222787,,,,,23.00147404676635,,21252.6906073667,15.642998283168,41.0646854316018,,
LDC,2.70755304919514,,,,,15.758003151518892,,3974.54387972993,35.8831468849027,175.981216880899,,
LIE,0.0,,,,1.0,,,,,,0.638210926502373,
LKA,3.83269502133841,42.0,0.0,,,3.903730024553659,90.78541374,2380.41567106983,19.9644408635608,91.6,0.384242000135626,40.621407
LMY,4.10671929610267,,,,,18.89999370604251,,4198.51422173885,35.5152965033507,121.230536035516,,
LSO,0.0,26.0,0.0,,,21.382745867612645,2.565905097,2287.72893692779,23.4391013240086,288.3,0.302459624657576,0.0
LTE,5.65300929074207,,,,,20.640934025350965,,7867.6765316924,28.2364909659673,82.4779641953252,,
LTU,1.54171360273301,4.0,0.0,,329.0,26.95173935979917,2.165537131,5459.73551007032,9.21893860360944,38.8,0.598386526006303,0.0
LUX,0.0,0.0,,,15.0,-2.4573630648056812,3.95854063,1531.15205411704,8.67476189540246,12.5,0.655116714148073,0.0
LVA,10.2259175988653,0.0,,0.0,71.0,15.449645132292464,1.015521509,9013.59648352678,11.6020322023647,40.1,0.579739325575857,0.0
